INSERT INTO `peminjaman` (`id`, `kode_pinjam`, `peminjam_id`, `kd_barang`, `nama_peminjam`, `petugas_pinjam`, `petugas_kembali`, `status`, `denda`, `tanggal_pinjam`, `tanggal_kembali`, `tanggal_pengembalian`, `created_at`, `updated_at`) VALUES
(248, '323402968', 251, '6690527f-4bed-4e5d-a62d-52574cd36e90', 'Rika Restu Sudiati', 1, 1, 3, 0, '2022-01-30', '2022-02-13', '2022-02-12', '2023-05-29 02:10:43', '2023-05-29 02:10:43'),
(249, '217245854', 252, 'ec7c138e-ba0b-42e0-b1ac-3edf0e20f5a3', 'Jagapati Kemal Kusumo S.Pd', 1, 2, 3, 0, '2022-03-27', '2022-04-10', '2022-04-09', '2023-05-29 02:10:43', '2023-05-29 02:10:43'),
(250, '320392376', 253, 'f0fd3657-2738-47da-93bc-8a36f6f892f6', 'Mursinin Nyana Zulkarnain S.H.', 1, 2, 3, 0, '2022-05-14', '2022-05-28', '2022-05-27', '2023-05-29 02:10:43', '2023-05-29 02:10:43'),
(251, '205822996', 254, '92d72000-fd72-4883-9e09-ca5155d908ee', 'Wadi Gunawan S.IP', 2, 2, 3, 0, '2022-10-01', '2022-10-15', '2022-10-14', '2023-05-29 02:10:43', '2023-05-29 02:10:43'),
(252, '443267225', 255, '604bf8be-fb3f-4c35-88d4-5193a749c5cb', 'Ophelia Utami', 1, 1, 3, 0, '2022-05-01', '2022-05-15', '2022-05-14', '2023-05-29 02:10:43', '2023-05-29 02:10:43'),
(253, '241575008', 256, 'f83ce838-9b9a-45d4-9172-8c1ff7aeddea', 'Jane Novitasari', 2, 1, 3, 0, '2021-09-20', '2021-10-04', '2021-10-03', '2023-05-29 02:10:44', '2023-05-29 02:10:44'),
(254, '182009539', 257, 'a4a2df68-c58f-49a0-b411-c7f348e5473f', 'Umaya Lembah Budiyanto', 2, 2, 3, 0, '2021-10-30', '2021-11-13', '2021-11-12', '2023-05-29 02:10:44', '2023-05-29 02:10:44'),
(255, '440406229', 258, '1b4d80c9-2553-4634-b743-636d334ea6fc', 'Prabowo Narpati', 1, 1, 3, 0, '2022-04-09', '2022-04-23', '2022-04-22', '2023-05-29 02:10:44', '2023-05-29 02:10:44'),
(256, '964910918', 259, 'af46d1d5-0531-4bf2-84bf-4337508383c1', 'Estiono Simbolon', 1, 1, 3, 0, '2021-07-04', '2021-07-18', '2021-07-17', '2023-05-29 02:10:44', '2023-05-29 02:10:44'),
(257, '239056787', 260, '7088c2f3-b372-431b-9214-354790359958', 'Chelsea Hariyah', 2, 2, 3, 0, '2021-01-15', '2021-01-29', '2021-01-28', '2023-05-29 02:10:44', '2023-05-29 02:10:44'),
(258, '354584986', 261, '942929bb-34dc-40b4-bb76-9a2882f3823f', 'Eli Kartika Suartini', 2, 1, 3, 0, '2023-03-23', '2023-04-06', '2023-04-05', '2023-05-29 02:10:44', '2023-05-29 02:10:44'),
(259, '412182817', 262, '750c71a2-90bb-46e9-a647-f9b40df94d19', 'Vivi Rahayu M.Pd', 1, 1, 3, 0, '2020-07-31', '2020-08-14', '2020-08-13', '2023-05-29 02:10:44', '2023-05-29 02:10:44'),
(260, '681863150', 263, '67f7c804-95ea-41e7-964b-036075775979', 'Amelia Riyanti', 2, 1, 3, 0, '2022-12-22', '2023-01-05', '2023-01-04', '2023-05-29 02:10:44', '2023-05-29 02:10:44'),
(261, '887330464', 264, 'fc7d0ed9-08eb-4bf7-9d17-b32d52924d76', 'Harja Narji Mahendra', 2, 2, 3, 0, '2020-08-16', '2020-08-30', '2020-08-29', '2023-05-29 02:10:44', '2023-05-29 02:10:44'),
(262, '472040604', 265, 'e552a538-99a3-4258-a96e-30174bcc0692', 'Gatot Jarwa Wacana', 1, 2, 3, 0, '2022-10-15', '2022-10-29', '2022-10-28', '2023-05-29 02:10:44', '2023-05-29 02:10:44'),
(263, '906269258', 266, '5500a1cc-9cea-4601-a0a8-cb1c22bf7533', 'Kariman Permadi', 1, 1, 3, 0, '2020-03-02', '2020-03-16', '2020-03-15', '2023-05-29 02:10:44', '2023-05-29 02:10:44'),
(264, '178757661', 267, '46f7867f-0ce7-422e-b117-5d0032860c48', 'Uchita Rahmi Purwanti M.M.', 1, 2, 3, 0, '2020-09-07', '2020-09-21', '2020-09-20', '2023-05-29 02:10:44', '2023-05-29 02:10:44'),
(265, '205785761', 268, '7d6779f1-c633-4046-b45e-59ca6212b42a', 'Edi Respati Simanjuntak S.Farm', 1, 2, 3, 0, '2022-11-02', '2022-11-16', '2022-11-15', '2023-05-29 02:10:44', '2023-05-29 02:10:44'),
(266, '906106109', 269, 'c457f6b9-6000-4151-aaf2-1c99bed04099', 'Darimin Sinaga M.Kom.', 1, 1, 3, 0, '2022-04-15', '2022-04-29', '2022-04-28', '2023-05-29 02:10:44', '2023-05-29 02:10:44'),
(267, '796503559', 270, 'b1c2522c-0964-49e4-8f1f-e7301da99087', 'Asirwada Pradana', 2, 2, 3, 0, '2020-05-28', '2020-06-11', '2020-06-10', '2023-05-29 02:10:44', '2023-05-29 02:10:44'),
(268, '200456109', 271, 'a067e16a-fc22-40bc-8e89-0da3ded5366f', 'Gilda Lailasari', 2, 1, 3, 0, '2022-12-21', '2023-01-04', '2023-01-03', '2023-05-29 02:10:44', '2023-05-29 02:10:44'),
(269, '371327882', 272, 'c9008fba-d1e0-48cc-a9f0-59a1909e490b', 'Salwa Usada', 2, 2, 3, 0, '2022-08-04', '2022-08-18', '2022-08-17', '2023-05-29 02:10:45', '2023-05-29 02:10:45');
INSERT INTO `peminjaman` (`id`, `kode_pinjam`, `peminjam_id`, `kd_barang`, `nama_peminjam`, `petugas_pinjam`, `petugas_kembali`, `status`, `denda`, `tanggal_pinjam`, `tanggal_kembali`, `tanggal_pengembalian`, `created_at`, `updated_at`) VALUES
(270, '729717780', 273, '91971bcf-be76-441d-8f9c-1a82d3cc776e', 'Viktor Asirwada Budiman', 2, 2, 3, 0, '2020-12-27', '2021-01-10', '2021-01-09', '2023-05-29 02:10:45', '2023-05-29 02:10:45'),
(271, '970156253', 274, 'e7cd073b-7e89-4fd6-a689-7c2e3f6c11c2', 'Intan Putri Nasyidah', 2, 1, 3, 0, '2022-03-18', '2022-04-01', '2022-03-31', '2023-05-29 02:10:45', '2023-05-29 02:10:45'),
(272, '667032721', 275, '0a2ebb06-1aaf-40dc-b1ee-ec7130b8c715', 'Gawati Halimah', 2, 1, 3, 0, '2023-01-21', '2023-02-04', '2023-02-03', '2023-05-29 02:10:45', '2023-05-29 02:10:45'),
(273, '116822028', 276, '1e0f681b-3b89-44f4-84e5-5e7f30b0ce81', 'Cindy Novitasari', 1, 1, 3, 0, '2022-08-13', '2022-08-27', '2022-08-26', '2023-05-29 02:10:45', '2023-05-29 02:10:45'),
(274, '101813547', 277, '96901c57-02f6-4cc6-8a98-cf5472d2bf3d', 'Margana Kadir Wibisono S.E.', 1, 2, 3, 0, '2021-09-21', '2021-10-05', '2021-10-04', '2023-05-29 02:10:45', '2023-05-29 02:10:45'),
(275, '415891321', 278, 'ad9a29b8-b32f-4240-b397-e97a5346374c', 'Latika Maryati', 1, 1, 3, 0, '2021-08-05', '2021-08-19', '2021-08-18', '2023-05-29 02:10:45', '2023-05-29 02:10:45'),
(276, '293716366', 279, 'f5ea5c9f-4b51-4668-914f-14f9d194a375', 'Laras Puspita S.Sos', 1, 2, 3, 0, '2020-10-11', '2020-10-25', '2020-10-24', '2023-05-29 02:10:45', '2023-05-29 02:10:45'),
(277, '812286495', 280, 'f8de9431-2f78-4139-a2c1-a381c720963e', 'Dimaz Prayoga S.Pt', 1, 2, 3, 0, '2022-12-20', '2023-01-03', '2023-01-02', '2023-05-29 02:10:45', '2023-05-29 02:10:45'),
(278, '681084872', 281, '18b56929-5fc4-4c24-b1ed-5fd53bbca9cc', 'Sakura Wastuti S.Ked', 1, 2, 3, 0, '2021-06-02', '2021-06-16', '2021-06-15', '2023-05-29 02:10:45', '2023-05-29 02:10:45'),
(279, '988180124', 282, '7711a430-4543-43ec-9717-8d36152aa025', 'Ratih Halimah S.Farm', 2, 1, 3, 0, '2021-12-16', '2021-12-30', '2021-12-29', '2023-05-29 02:10:45', '2023-05-29 02:10:45'),
(280, '133904377', 283, '888060d4-a2dd-4d4f-a41b-a9665533d579', 'Xanana Prakasa', 1, 2, 3, 0, '2023-02-05', '2023-02-19', '2023-02-18', '2023-05-29 02:10:45', '2023-05-29 02:10:45'),
(281, '663945352', 284, '9cd93f14-d370-41ad-a1e3-d3a290ed56aa', 'Cindy Utami', 2, 1, 3, 0, '2023-02-11', '2023-02-25', '2023-02-24', '2023-05-29 02:10:45', '2023-05-29 02:10:45'),
(282, '815772441', 285, '65509b8c-00df-4b2a-a3d1-e24cdf8ef030', 'Budi Wibisono S.Pd', 1, 2, 3, 0, '2021-01-25', '2021-02-08', '2021-02-07', '2023-05-29 02:10:45', '2023-05-29 02:10:45'),
(283, '501349422', 286, '601c78be-e99c-4e05-84ff-0b76b03807ea', 'Gabriella Fujiati S.T.', 2, 1, 3, 0, '2021-12-10', '2021-12-24', '2021-12-23', '2023-05-29 02:10:45', '2023-05-29 02:10:45'),
(284, '743280588', 287, '216840d1-319a-45b5-be88-96a63d787aeb', 'Sarah Hassanah S.Pt', 1, 2, 3, 0, '2020-09-16', '2020-09-30', '2020-09-29', '2023-05-29 02:10:45', '2023-05-29 02:10:45'),
(285, '661037761', 288, '166a53e1-5e4f-42b0-944a-6c029c8ef76c', 'Ira Yessi Usamah M.Kom.', 2, 1, 3, 0, '2021-04-25', '2021-05-09', '2021-05-08', '2023-05-29 02:10:46', '2023-05-29 02:10:46'),
(286, '140503657', 289, '1d672ec7-394c-4028-bce3-5d5cbda47a0f', 'Suci Vicky Yolanda', 1, 2, 3, 0, '2022-08-01', '2022-08-15', '2022-08-14', '2023-05-29 02:10:46', '2023-05-29 02:10:46'),
(287, '925158249', 290, '113ba985-e391-4b0a-b88f-cd9fb550e032', 'Kania Mulyani M.Pd', 1, 1, 3, 0, '2021-11-29', '2021-12-13', '2021-12-12', '2023-05-29 02:10:46', '2023-05-29 02:10:46'),
(288, '254770820', 291, '66d1407e-d850-4f59-ac45-42dcee3b30a3', 'Hilda Nasyidah', 2, 2, 3, 0, '2022-05-26', '2022-06-09', '2022-06-08', '2023-05-29 02:10:46', '2023-05-29 02:10:46'),
(289, '876800484', 292, 'a65d3036-f39b-40eb-b5c7-cb82de0364f5', 'Siti Ira Rahayu S.Kom', 1, 2, 3, 0, '2023-01-03', '2023-01-17', '2023-01-16', '2023-05-29 02:10:46', '2023-05-29 02:10:46'),
(290, '718615833', 293, 'c41174d9-fbab-4995-a410-45a89603a358', 'Pia Namaga', 2, 2, 3, 0, '2022-08-22', '2022-09-05', '2022-09-04', '2023-05-29 02:10:46', '2023-05-29 02:10:46'),
(291, '966783863', 294, '9c254d46-5ae5-4aa1-aa21-a3ffb35f1708', 'Calista Padmasari', 1, 2, 3, 0, '2023-03-17', '2023-03-31', '2023-03-30', '2023-05-29 02:10:46', '2023-05-29 02:10:46'),
(292, '289841894', 295, '2aa512b3-62d6-4950-8bdc-b68e05d27554', 'Rendy Lazuardi', 1, 1, 3, 0, '2022-02-02', '2022-02-16', '2022-02-15', '2023-05-29 02:10:46', '2023-05-29 02:10:46'),
(293, '333585747', 296, '78948cce-5909-4dc0-b858-3acb3e3d6e74', 'Cinta Zelda Hastuti', 1, 2, 3, 0, '2022-06-19', '2022-07-03', '2022-07-02', '2023-05-29 02:10:46', '2023-05-29 02:10:46'),
(294, '864166063', 297, 'fdafecab-2d5e-4b76-9644-7270085b3721', 'Kani Nuraini S.Farm', 2, 1, 3, 0, '2020-01-29', '2020-02-12', '2020-02-11', '2023-05-29 02:10:46', '2023-05-29 02:10:46'),
(295, '639254472', 298, 'c61d6715-64ee-4ce4-a4fe-1b8ac4592d58', 'Mila Kasiyah Safitri S.IP', 1, 2, 3, 0, '2022-02-19', '2022-03-05', '2022-03-04', '2023-05-29 02:10:46', '2023-05-29 02:10:46'),
(296, '594031572', 299, 'bc86572f-6cf9-49b2-bc21-fc3e184b8387', 'Karen Rahmi Lailasari S.Psi', 1, 1, 3, 0, '2022-09-04', '2022-09-18', '2022-09-17', '2023-05-29 02:10:46', '2023-05-29 02:10:46'),
(297, '949087162', 300, 'dcd266d2-5658-44ef-90f8-5b741a1be494', 'Titin Sadina Nasyiah S.Sos', 1, 2, 3, 0, '2023-05-11', '2023-05-25', '2023-05-24', '2023-05-29 02:10:46', '2023-05-29 02:10:46'),
(298, '920710924', 301, 'c593fd2a-fdd2-4fe6-a3fe-fe509cfad1bd', 'Saadat Gunarto S.E.I', 1, 1, 3, 0, '2022-03-22', '2022-04-05', '2022-04-04', '2023-05-29 02:10:46', '2023-05-29 02:10:46'),
(299, '875480585', 302, '91c99f26-9a8f-4a5a-abf3-e317504c09c1', 'Makuta Gunawan M.TI.', 1, 1, 3, 0, '2022-07-31', '2022-08-14', '2022-08-13', '2023-05-29 02:10:46', '2023-05-29 02:10:46'),
(300, '405432890', 303, 'a1085a2a-8afb-49a6-b791-4e3c72b45d1a', 'Intan Suartini', 1, 1, 3, 0, '2021-08-29', '2021-09-12', '2021-09-11', '2023-05-29 02:10:46', '2023-05-29 02:10:46'),
(301, '799068650', 304, 'b93fb740-4bb9-498e-972d-3f4feb195ede', 'Jamil Waluyo', 2, 1, 3, 0, '2022-10-12', '2022-10-26', '2022-10-25', '2023-05-29 02:10:47', '2023-05-29 02:10:47'),
(302, '965178825', 305, 'b4392790-4ec3-4832-b01c-7b006b66315b', 'Tari Purnawati', 2, 1, 3, 0, '2022-05-09', '2022-05-23', '2022-05-22', '2023-05-29 02:10:47', '2023-05-29 02:10:47'),
(303, '778458207', 306, '54f6b877-4bd8-48e1-bb04-a0ec104f0feb', 'Dadap Cemeti Hardiansyah', 1, 2, 3, 0, '2020-08-23', '2020-09-06', '2020-09-05', '2023-05-29 02:10:47', '2023-05-29 02:10:47'),
(304, '439247670', 307, '9ec41750-d920-4ae8-af0e-51c8eb0f7faa', 'Gatot Tamba', 2, 2, 3, 0, '2020-07-03', '2020-07-17', '2020-07-16', '2023-05-29 02:10:47', '2023-05-29 02:10:47'),
(305, '383399018', 308, 'c559b8c3-11b4-408a-8f4a-23236201f312', 'Eko Utama', 2, 1, 3, 0, '2022-10-12', '2022-10-26', '2022-10-25', '2023-05-29 02:10:47', '2023-05-29 02:10:47'),
(306, '889092605', 309, 'b61c7e36-4b02-4b3b-b951-8648f82b8017', 'Mila Iriana Rahayu', 2, 2, 3, 0, '2023-03-09', '2023-03-23', '2023-03-22', '2023-05-29 02:10:47', '2023-05-29 02:10:47'),
(307, '699116246', 310, 'e8bf034b-6a8a-4702-bd5c-58c8f1ee4dc4', 'Kartika Kiandra Nasyidah', 2, 2, 3, 0, '2021-12-18', '2022-01-01', '2021-12-31', '2023-05-29 02:10:47', '2023-05-29 02:10:47'),
(308, '377727314', 311, 'd58a32cf-7f55-402d-933e-4b22b81c91dd', 'Alambana Adriansyah', 2, 2, 3, 0, '2021-06-14', '2021-06-28', '2021-06-27', '2023-05-29 02:10:47', '2023-05-29 02:10:47'),
(309, '626140028', 312, 'ec2875ea-b0e8-4bc1-be89-5a17515bf658', 'Yahya Hakim', 2, 2, 3, 0, '2021-04-17', '2021-05-01', '2021-04-30', '2023-05-29 02:10:47', '2023-05-29 02:10:47'),
(310, '303236340', 313, '4ee223ea-f1f2-4392-9ff3-f6a47dc035de', 'Gabriella Chelsea Rahmawati S.E.', 1, 2, 3, 0, '2020-07-16', '2020-07-30', '2020-07-29', '2023-05-29 02:10:47', '2023-05-29 02:10:47'),
(311, '628406372', 314, 'afeef74b-5855-470c-b5ef-a068230fbd31', 'Intan Zamira Uyainah M.Farm', 2, 1, 3, 0, '2020-12-04', '2020-12-18', '2020-12-17', '2023-05-29 02:10:47', '2023-05-29 02:10:47'),
(312, '691505082', 315, 'b10ae298-efbe-44ae-b7ef-0a055ebdb74f', 'Wani Umi Mardhiyah', 1, 2, 3, 0, '2020-06-24', '2020-07-08', '2020-07-07', '2023-05-29 02:10:47', '2023-05-29 02:10:47'),
(313, '979901587', 316, 'b7c9925e-2c05-4393-bd0c-463f65fc6a89', 'Cindy Agnes Hastuti', 1, 2, 3, 0, '2020-06-04', '2020-06-18', '2020-06-17', '2023-05-29 02:10:47', '2023-05-29 02:10:47'),
(314, '637529888', 317, '0afa0179-fbc7-43a6-81f7-f68ae210de7b', 'Taufik Situmorang', 1, 2, 3, 0, '2021-01-21', '2021-02-04', '2021-02-03', '2023-05-29 02:10:47', '2023-05-29 02:10:47'),
(315, '690453128', 318, '4ccca138-6b6e-4d01-8ab2-b72e753df3c2', 'Lukman Firgantoro M.Farm', 1, 2, 3, 0, '2020-11-10', '2020-11-24', '2020-11-23', '2023-05-29 02:10:47', '2023-05-29 02:10:47'),
(316, '807863898', 319, 'fc494e15-4c40-43de-b390-2f30e632ba69', 'Gamani Pranata Hardiansyah M.Pd', 2, 1, 3, 0, '2023-05-02', '2023-05-16', '2023-05-15', '2023-05-29 02:10:47', '2023-05-29 02:10:47'),
(317, '726222576', 320, '8b876bee-5d9b-44dc-9a90-8c922eea2598', 'Mumpuni Siregar S.E.', 1, 1, 3, 0, '2020-06-12', '2020-06-26', '2020-06-25', '2023-05-29 02:10:48', '2023-05-29 02:10:48'),
(318, '679219772', 321, '1962ec73-68da-4ac2-bd24-3b2ba671a0f9', 'Tira Kusmawati S.Pd', 1, 2, 3, 0, '2021-01-19', '2021-02-02', '2021-02-01', '2023-05-29 02:10:48', '2023-05-29 02:10:48'),
(319, '420038804', 322, '80fd959d-10d9-467c-8d28-96bb39ed9f71', 'Kasusra Viktor Sitompul', 1, 2, 3, 0, '2021-07-21', '2021-08-04', '2021-08-03', '2023-05-29 02:10:48', '2023-05-29 02:10:48'),
(320, '477445551', 323, '6ef5ab3f-62ff-46f2-ba35-a113a6ddf564', 'Lalita Nuraini M.Ak', 2, 1, 3, 0, '2023-04-02', '2023-04-16', '2023-04-15', '2023-05-29 02:10:48', '2023-05-29 02:10:48'),
(321, '180902317', 324, '17008a93-ef4c-4d66-b64e-dcc6d00ef2ac', 'Kajen Dimaz Wacana M.Farm', 2, 1, 3, 0, '2022-08-29', '2022-09-12', '2022-09-11', '2023-05-29 02:10:48', '2023-05-29 02:10:48'),
(322, '543086846', 325, '8449fd30-37a3-44d3-9a16-16e7b4f46d2d', 'Karya Waluyo', 1, 1, 3, 0, '2021-02-13', '2021-02-27', '2021-02-26', '2023-05-29 02:10:48', '2023-05-29 02:10:48'),
(323, '686235620', 326, '6656fd2d-b9be-4950-bbe1-c8e0d3d1f7e8', 'Emas Firmansyah', 1, 2, 3, 0, '2023-01-03', '2023-01-17', '2023-01-16', '2023-05-29 02:10:48', '2023-05-29 02:10:48'),
(324, '282926727', 327, '74348e2d-c1e8-4534-9e62-bd4ff919a7dd', 'Kartika Hariyah M.M.', 2, 1, 3, 0, '2022-05-19', '2022-06-02', '2022-06-01', '2023-05-29 02:10:48', '2023-05-29 02:10:48'),
(325, '704370769', 328, 'f5ebbe9e-3612-4cb3-bc35-22e4a081c01a', 'Reza Suryono', 2, 1, 3, 0, '2021-03-09', '2021-03-23', '2021-03-22', '2023-05-29 02:10:48', '2023-05-29 02:10:48'),
(326, '846840318', 329, 'd9302b43-c842-4d1b-87ca-dbef73c74db5', 'Mulyono Permadi M.M.', 2, 2, 3, 0, '2021-01-02', '2021-01-16', '2021-01-15', '2023-05-29 02:10:48', '2023-05-29 02:10:48'),
(327, '501345475', 330, 'ed017ca6-4dbe-46a4-9888-d3694d518cd8', 'Bella Yulianti', 1, 1, 3, 0, '2020-10-05', '2020-10-19', '2020-10-18', '2023-05-29 02:10:48', '2023-05-29 02:10:48'),
(328, '261051391', 331, '29d8ec82-f8ee-46ac-93de-c12f54e8b016', 'Uda Hasan Mustofa S.Gz', 2, 1, 3, 0, '2020-06-05', '2020-06-19', '2020-06-18', '2023-05-29 02:10:48', '2023-05-29 02:10:48'),
(329, '534525056', 332, '115a9734-a849-40cc-a97e-2832b00fdf96', 'Ilyas Sitorus', 2, 1, 3, 0, '2021-07-18', '2021-08-01', '2021-07-31', '2023-05-29 02:10:48', '2023-05-29 02:10:48'),
(330, '113691370', 333, '4b755f72-2d07-45a7-ae05-74a072d25057', 'Surya Wibisono M.Kom.', 1, 2, 3, 0, '2022-10-20', '2022-11-03', '2022-11-02', '2023-05-29 02:10:48', '2023-05-29 02:10:48'),
(331, '448757628', 334, '2547c5b6-1ed9-4468-bed7-a6c8c6dc2381', 'Budi Marpaung', 2, 2, 3, 0, '2021-11-29', '2021-12-13', '2021-12-12', '2023-05-29 02:10:48', '2023-05-29 02:10:48'),
(332, '516784149', 335, '416cdb0b-32e3-4d4d-af61-6b94befe0f41', 'Gina Mandasari', 1, 1, 3, 0, '2021-09-23', '2021-10-07', '2021-10-06', '2023-05-29 02:10:48', '2023-05-29 02:10:48'),
(333, '988504989', 336, 'c2347e75-2cf6-4879-b2b7-c83a1f1ca664', 'Maida Yuliarti M.Pd', 1, 1, 3, 0, '2020-06-01', '2020-06-15', '2020-06-14', '2023-05-29 02:10:49', '2023-05-29 02:10:49'),
(334, '283035153', 337, '6eaf4d95-4ad6-4daf-9d76-e8d60f39ae3e', 'Kadir Manullang', 2, 2, 3, 0, '2023-04-19', '2023-05-03', '2023-05-02', '2023-05-29 02:10:49', '2023-05-29 02:10:49'),
(335, '292958547', 338, '0e52c00f-3492-44ad-81ef-91c93b169935', 'Kasiyah Usyi Utami S.E.', 2, 2, 3, 0, '2021-04-09', '2021-04-23', '2021-04-22', '2023-05-29 02:10:49', '2023-05-29 02:10:49'),
(336, '223474097', 339, '7fe5fc3d-3b8b-4a4f-88a4-e57a781b0c5a', 'Ivan Prasetyo', 2, 2, 3, 0, '2022-07-05', '2022-07-19', '2022-07-18', '2023-05-29 02:10:49', '2023-05-29 02:10:49'),
(337, '427945214', 340, '74d81efd-960e-4751-a8d0-5696818b1b5f', 'Rika Cinthia Andriani', 1, 1, 3, 0, '2021-03-27', '2021-04-10', '2021-04-09', '2023-05-29 02:10:49', '2023-05-29 02:10:49'),
(338, '800016025', 341, '30746b04-9266-4dd9-abe9-93856eff3ee1', 'Kariman Maheswara', 1, 2, 3, 0, '2021-06-04', '2021-06-18', '2021-06-17', '2023-05-29 02:10:49', '2023-05-29 02:10:49'),
(339, '932322656', 342, '1203883d-e5f7-486d-9905-1c179cc64409', 'Irma Purnawati S.Farm', 1, 1, 3, 0, '2021-01-24', '2021-02-07', '2021-02-06', '2023-05-29 02:10:49', '2023-05-29 02:10:49'),
(340, '654875603', 343, 'f168c145-8174-427b-9abb-d737736d70b5', 'Jarwa Budiyanto', 2, 1, 3, 0, '2020-03-02', '2020-03-16', '2020-03-15', '2023-05-29 02:10:49', '2023-05-29 02:10:49'),
(341, '426556269', 344, '214c8d35-3cff-4e32-82cb-c389985e3fe9', 'Violet Laksmiwati', 2, 1, 3, 0, '2021-01-08', '2021-01-22', '2021-01-21', '2023-05-29 02:10:49', '2023-05-29 02:10:49'),
(342, '410547121', 345, '449e1ede-89bd-47d5-8ff5-0c79ee4a10bf', 'Maman Simbolon', 2, 1, 3, 0, '2020-02-26', '2020-03-11', '2020-03-10', '2023-05-29 02:10:49', '2023-05-29 02:10:49'),
(343, '960130028', 346, 'e0a4eec1-47f9-430e-96f4-f5a3a7a21246', 'Hardi Jailani', 2, 2, 3, 0, '2021-08-06', '2021-08-20', '2021-08-19', '2023-05-29 02:10:49', '2023-05-29 02:10:49'),
(344, '255072194', 347, 'eb06a427-7736-4cb7-954a-7215c39849b1', 'Lala Lidya Riyanti S.E.I', 1, 2, 3, 0, '2021-08-20', '2021-09-03', '2021-09-02', '2023-05-29 02:10:49', '2023-05-29 02:10:49'),
(345, '171878418', 348, '8b343465-267e-467e-8a47-eccdc1c632a0', 'Hani Hafshah Pratiwi S.E.', 2, 2, 3, 0, '2021-03-05', '2021-03-19', '2021-03-18', '2023-05-29 02:10:49', '2023-05-29 02:10:49'),
(346, '272177421', 349, '0d6c1a2b-76c5-4831-929a-8b1a3ab5e047', 'Puti Utami', 2, 2, 3, 0, '2020-12-01', '2020-12-15', '2020-12-14', '2023-05-29 02:10:49', '2023-05-29 02:10:49'),
(347, '511655858', 350, '75526871-924e-48c5-94ce-2563fbf8445c', 'Cornelia Yuliarti M.Ak', 2, 2, 3, 0, '2020-09-16', '2020-09-30', '2020-09-29', '2023-05-29 02:10:49', '2023-05-29 02:10:49'),
(348, '197857336', 351, 'da968282-6eea-4071-959b-ffcfc3737ba8', 'Ade Natsir S.Pt', 1, 2, 3, 0, '2022-06-04', '2022-06-18', '2022-06-17', '2023-05-29 02:10:49', '2023-05-29 02:10:49'),
(349, '367355108', 352, '2ce19e08-24f2-41d0-b5dd-74e788acb4a4', 'Ghani Simanjuntak', 2, 1, 3, 0, '2020-09-22', '2020-10-06', '2020-10-05', '2023-05-29 02:10:50', '2023-05-29 02:10:50'),
(350, '999499417', 353, '867411c7-49a4-4cae-97e9-e6115e619074', 'Paris Rahmawati S.T.', 1, 1, 3, 0, '2021-01-25', '2021-02-08', '2021-02-07', '2023-05-29 02:10:50', '2023-05-29 02:10:50'),
(351, '463787156', 354, 'cbe81494-9c3f-44f8-b417-8d2ade1eda4a', 'Puput Wijayanti', 2, 1, 3, 0, '2022-06-21', '2022-07-05', '2022-07-04', '2023-05-29 02:10:50', '2023-05-29 02:10:50'),
(352, '142071599', 355, '9b2dabf4-9bb8-479f-8ac6-d3b9bb7a1edd', 'Siti Pertiwi', 2, 1, 3, 0, '2022-12-08', '2022-12-22', '2022-12-21', '2023-05-29 02:10:50', '2023-05-29 02:10:50'),
(353, '615085559', 356, '6bb36a1d-50f8-4be2-9749-60ee5926fcb4', 'Darmanto Wasita', 2, 2, 3, 0, '2022-05-06', '2022-05-20', '2022-05-19', '2023-05-29 02:10:50', '2023-05-29 02:10:50'),
(354, '747570589', 357, '53167ec1-baa6-48ba-9cc8-a16d8a564f84', 'Hasna Hartati', 2, 1, 3, 0, '2022-07-17', '2022-07-31', '2022-07-30', '2023-05-29 02:10:50', '2023-05-29 02:10:50'),
(355, '693680963', 358, '0034d5be-43c6-4422-a9f7-49fb27851f57', 'Salimah Fujiati', 2, 2, 3, 0, '2021-12-09', '2021-12-23', '2021-12-22', '2023-05-29 02:10:50', '2023-05-29 02:10:50'),
(356, '232916459', 359, '33949014-1df5-4f67-97b1-19b7be5db6fd', 'Anita Rahimah', 2, 1, 3, 0, '2022-01-11', '2022-01-25', '2022-01-24', '2023-05-29 02:10:50', '2023-05-29 02:10:50'),
(357, '794376380', 360, '430c837c-2f4e-4648-a5fd-89452c4d2417', 'Tari Yuliana Halimah', 2, 1, 3, 0, '2023-04-24', '2023-05-08', '2023-05-07', '2023-05-29 02:10:50', '2023-05-29 02:10:50'),
(358, '110364192', 361, '1fa9b293-63a4-45cc-b2e1-9277cd8c8540', 'Puspa Purwanti', 1, 2, 3, 0, '2021-01-07', '2021-01-21', '2021-01-20', '2023-05-29 02:10:50', '2023-05-29 02:10:50'),
(359, '220530087', 362, 'f9cb2174-25da-45b1-b1fd-c3c95f042922', 'Aurora Oktaviani S.Pt', 1, 2, 3, 0, '2021-01-26', '2021-02-09', '2021-02-08', '2023-05-29 02:10:50', '2023-05-29 02:10:50'),
(360, '895284557', 363, 'f2054c3a-0719-4bc5-9974-9200b91fb89d', 'Iriana Latika Fujiati', 1, 1, 3, 0, '2020-08-05', '2020-08-19', '2020-08-18', '2023-05-29 02:10:50', '2023-05-29 02:10:50'),
